"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2988","RT @apuragambeta16: #AMISTOSOINTERNACIONALSUB17
#Uruguay 3 - #Paraguay 3
Goles: 2' Matías Arezo y 47' Cristian Olivera y 75' Matías Ocampo…",FALSE,0,NA,2018-08-28 20:16:25,FALSE,NA,"1034535194806636544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MMathiasBello",2,TRUE,FALSE,NA,NA
"2989","#Uruguay #LasNiñasPueden #EducacionNoSexista Acabar con #estereotipos y #discriminación que impiden que haya más mu… https://t.co/SdzUhoY3Q2",FALSE,0,NA,2018-08-28 20:16:09,TRUE,NA,"1034535124212363264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fesminismos",0,FALSE,FALSE,NA,NA
"2990","RT @SoyCalorFrio: En #Uruguay https://t.co/zJvr8I0CSM",FALSE,0,NA,2018-08-28 20:15:50,FALSE,NA,"1034535046852628482",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","diegojrgonzalez",3,TRUE,FALSE,NA,NA
"2991","RT @FabianBia: Piriápolis.
#Uruguay https://t.co/eg3nnkCCqM",FALSE,0,NA,2018-08-28 20:15:26,FALSE,NA,"1034534944608018434",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PabloClavijo8",105,TRUE,FALSE,NA,NA
"2992","Después de una siesta hay que echarle nafta al fusca. ☕

#nescafedolcegusto #espresso #zeta #Montevideo #Uruguay en… https://t.co/QfWaKaJxMn",FALSE,0,NA,2018-08-28 20:11:14,TRUE,NA,"1034533890826809344",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","michumm7",0,FALSE,FALSE,"-56.18194444","-34.88361111"
"2993","RT @Cat_Kapow: PLEASE #FCI Members boycott #WorldDogShow2019 #China 🙀
A nation with NO #AnimalWelfare &amp; #DogMeatTrade 
🇳🇱#Dutch .@raadvanbe…",FALSE,0,NA,2018-08-28 20:08:34,FALSE,NA,"1034533217926295552",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","westermeisje",130,TRUE,FALSE,NA,NA
"2994","#Uruguay v #WestGermany at #WC1986 https://t.co/uB0xGLjwTE",FALSE,24,NA,2018-08-28 20:07:55,FALSE,NA,"1034533055195762688",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OldFootball11",2,FALSE,FALSE,NA,NA
"2995","RT @SEGIBdigital: La Secretaria General Iberoamericana @RGrynspan dialogó con el presidente de #Uruguay 🇺🇾 Tabaré Vázquez sobre la agenda d…",FALSE,0,NA,2018-08-28 20:07:48,FALSE,NA,"1034533023272841223",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iberoaccion",13,TRUE,FALSE,NA,NA
"2996","RT @MaurAntunez: Las declaraciones de Schoklender apuntan a que #LaRutaDelDineroK financiaba campañas en Latinoamérica, en #Uruguay también…",FALSE,0,NA,2018-08-28 20:07:04,FALSE,NA,"1034532842255147010",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Enrique_lmb",75,TRUE,FALSE,NA,NA
"2997","#LunesDeGanarSeguidores 
#MartesDeGanarSeguidores 
#MiercolesDeGanarSeguidores 
#JuevesDeGanarSeguidores… https://t.co/8zkHYfAsG0",FALSE,2,NA,2018-08-28 20:06:43,TRUE,NA,"1034532752576733184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Oscarrjavier95",0,FALSE,FALSE,NA,NA
"2998","#Uruguay 🇺🇾 es uno de los principales impulsores de la cooperación Iberoamericana, con participación en 16 de 23 pr… https://t.co/RfrLq4CH1r",FALSE,14,NA,2018-08-28 20:05:13,TRUE,NA,"1034532375458402304",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","SEGIBdigital",14,FALSE,FALSE,NA,NA
"2999","RT @EquipodeNovick: El ex concejal del Frente Amplio en Ciudad del Plata, Eduardo Fleita, confirmó que respaldará @EdgardoNovick  y además…",FALSE,0,NA,2018-08-28 20:05:06,FALSE,NA,"1034532343875284993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","danielpenia505",7,TRUE,FALSE,NA,NA
"3000","RT @Cat_Kapow: PLEASE #FCI Members boycott #WorldDogShow2019 #China 🙀
A nation with NO #AnimalWelfare &amp; #DogMeatTrade 
🇳🇱#Dutch .@raadvanbe…",FALSE,0,NA,2018-08-28 20:04:23,FALSE,NA,"1034532164510072833",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Barbann56",130,TRUE,FALSE,NA,NA
"3001","RT @SEGIBdigital: La Secretaria General Iberoamericana @RGrynspan dialogó con el presidente de #Uruguay 🇺🇾 Tabaré Vázquez sobre la agenda d…",FALSE,0,NA,2018-08-28 20:04:12,FALSE,NA,"1034532118339248129",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alejo_segib",13,TRUE,FALSE,NA,NA
"3002","RT @hbdaoficial: Torneo de #BodyBoarding #BarraGoldenChallenge #Acapulco #Coyuca !! Participan #México #ElSalvador #Argentina #Uruguay #Chi…",FALSE,0,NA,2018-08-28 20:03:47,FALSE,NA,"1034532015922659329",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pakito_Infanzon",9,TRUE,FALSE,NA,NA
"3003","RT @OITAmericas: El Sistema de Cuidados es hoy un realidad que cambia la vida de miles de familias en #Uruguay. Esta serie cuenta la histor…",FALSE,0,NA,2018-08-28 20:03:17,FALSE,NA,"1034531886507470850",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LogisticaHub",17,TRUE,FALSE,NA,NA
"3004","RT @msa_chamane23: How Ricky Rick was interviewed after SAMA24😂
#WorldCup 
#Messi 
#FifaWorldCup2018 
#Uruguay 
#Portugal 
#BRUvHUR 
#Ronal…",FALSE,0,NA,2018-08-28 20:02:21,FALSE,NA,"1034531654386237440",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sandile25078279",12,TRUE,FALSE,NA,NA
"3005","#letrasinsentido #frasesdeamor #costarica
#textos #letras #poema #reflexiones #escritos #amor #pensamientos #xoxo… https://t.co/OHMIbJdWvJ",FALSE,0,NA,2018-08-28 20:02:18,TRUE,NA,"1034531639018364934",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","1etraSinsentido",0,FALSE,FALSE,NA,NA
